# x	y_0	y_1	y_2	y_3	y_4	y_5	y_6	y_7
1.000000	0.003606	0.003443	0.810180	0.000278	1.000000	0.000000	0.384655	0.000153
1.001000	0.003610	0.003446	0.810180	0.000278	1.000000	0.000000	0.384655	0.000153
1.002000	0.003613	0.003449	0.810180	0.000278	1.000000	0.000000	0.384655	0.000154
1.003000	0.003617	0.003453	0.810181	0.000278	1.000000	0.000000	0.384655	0.000154
1.004000	0.003620	0.003456	0.810181	0.000278	1.000000	0.000000	0.384655	0.000154
1.005000	0.003623	0.003459	0.810181	0.000278	1.000000	0.000001	0.384655	0.000154
1.006000	0.003627	0.003463	0.810182	0.000278	1.000000	0.000001	0.384656	0.000154
1.007000	0.003630	0.003466	0.810182	0.000278	1.000000	0.000001	0.384656	0.000155
1.008000	0.003634	0.003469	0.810182	0.000278	1.000000	0.000001	0.384656	0.000155
1.009000	0.003637	0.003473	0.810182	0.000278	1.000000	0.000001	0.384656	0.000155
1.010000	0.003641	0.003476	0.810183	0.000278	1.000000	0.000001	0.384656	0.000155
1.011000	0.003644	0.003479	0.810183	0.000278	1.000000	0.000001	0.384656	0.000156
1.012000	0.003648	0.003483	0.810183	0.000278	1.000000	0.000001	0.384656	0.000156
1.013000	0.003651	0.003486	0.810184	0.000278	1.000000	0.000001	0.384657	0.000156
1.014000	0.003655	0.003489	0.810184	0.000278	1.000000	0.000002	0.384657	0.000156
1.015000	0.003658	0.003493	0.810184	0.000278	1.000000	0.000002	0.384657	0.000156
1.016000	0.003662	0.003496	0.810184	0.000278	1.000000	0.000002	0.384657	0.000157
1.017000	0.003665	0.003499	0.810185	0.000278	1.000000	0.000002	0.384657	0.000157
1.018000	0.003669	0.003503	0.810185	0.000278	1.000000	0.000002	0.384657	0.000157
1.019000	0.003672	0.003506	0.810185	0.000278	1.000000	0.000002	0.384658	0.000157
1.020000	0.003676	0.003509	0.810185	0.000278	1.000000	0.000002	0.384658	0.000158
1.021000	0.003679	0.003513	0.810186	0.000278	1.000000	0.000002	0.384658	0.000158
1.022000	0.003683	0.003516	0.810186	0.000278	1.000000	0.000002	0.384658	0.000158
1.023000	0.003686	0.003519	0.810186	0.000278	1.000000	0.000003	0.384658	0.000158
1.024000	0.003690	0.003523	0.810187	0.000278	1.000000	0.000003	0.384658	0.000159
1.025000	0.003693	0.003526	0.810187	0.000278	1.000000	0.000003	0.384659	0.000159
1.026000	0.003697	0.003530	0.810187	0.000278	1.000000	0.000003	0.384659	0.000159
1.027000	0.003700	0.003533	0.810187	0.000278	1.000000	0.000003	0.384659	0.000159
1.028000	0.003704	0.003536	0.810188	0.000278	1.000000	0.000003	0.384659	0.000160
1.029000	0.003707	0.003540	0.810188	0.000278	1.000000	0.000003	0.384659	0.000160
1.030000	0.003711	0.003543	0.810188	0.000278	1.000000	0.000003	0.384659	0.000160
1.031000	0.003715	0.003546	0.810189	0.000278	1.000000	0.000003	0.384659	0.000160
1.032000	0.003718	0.003550	0.810189	0.000278	1.000000	0.000003	0.384660	0.000160
1.033000	0.003722	0.003553	0.810189	0.000278	1.000000	0.000004	0.384660	0.000161
1.034000	0.003725	0.003557	0.810189	0.000278	1.000000	0.000004	0.384660	0.000161
1.035000	0.003729	0.003560	0.810190	0.000278	1.000000	0.000004	0.384660	0.000161
1.036000	0.003732	0.003564	0.810190	0.000278	1.000000	0.000004	0.384660	0.000161
1.037000	0.003736	0.003567	0.810190	0.000278	1.000000	0.000004	0.384660	0.000162
1.038000	0.003739	0.003570	0.810190	0.000278	1.000000	0.000004	0.384661	0.000162
1.039000	0.003743	0.003574	0.810191	0.000278	1.000000	0.000004	0.384661	0.000162
1.040000	0.003747	0.003577	0.810191	0.000278	1.000000	0.000004	0.384661	0.000162
1.041000	0.003750	0.003581	0.810191	0.000278	1.000000	0.000004	0.384661	0.000163
1.042000	0.003754	0.003584	0.810192	0.000278	1.000000	0.000005	0.384661	0.000163
1.043000	0.003757	0.003587	0.810192	0.000278	1.000000	0.000005	0.384661	0.000163
1.044000	0.003761	0.003591	0.810192	0.000278	1.000000	0.000005	0.384662	0.000163
1.045000	0.003765	0.003594	0.810192	0.000278	1.000000	0.000005	0.384662	0.000164
1.046000	0.003768	0.003598	0.810193	0.000278	1.000000	0.000005	0.384662	0.000164
1.047000	0.003772	0.003601	0.810193	0.000278	1.000000	0.000005	0.384662	0.000164
1.048000	0.003775	0.003605	0.810193	0.000278	1.000000	0.000005	0.384662	0.000164
1.049000	0.003779	0.003608	0.810194	0.000278	1.000000	0.000005	0.384662	0.000165
1.050000	0.003783	0.003612	0.810194	0.000278	1.000000	0.000005	0.384663	0.000165
1.051000	0.003786	0.003615	0.810194	0.000278	1.000000	0.000005	0.384663	0.000165
1.052000	0.003790	0.003619	0.810194	0.000278	1.000000	0.000005	0.384663	0.000165
1.053000	0.003793	0.003622	0.810195	0.000278	1.000000	0.000006	0.384663	0.000166
1.054000	0.003797	0.003625	0.810195	0.000278	1.000000	0.000006	0.384663	0.000166
1.055000	0.003801	0.003629	0.810195	0.000278	1.000000	0.000006	0.384663	0.000166
1.056000	0.003804	0.003632	0.810195	0.000278	1.000000	0.000006	0.384664	0.000166
1.057000	0.003808	0.003636	0.810196	0.000278	1.000000	0.000006	0.384664	0.000166
1.058000	0.003812	0.003639	0.810196	0.000278	1.000000	0.000006	0.384664	0.000167
1.059000	0.003815	0.003643	0.810196	0.000278	1.000000	0.000006	0.384664	0.000167
1.060000	0.003819	0.003646	0.810197	0.000278	1.000000	0.000006	0.384664	0.000167
1.061000	0.003823	0.003650	0.810197	0.000278	1.000000	0.000006	0.384664	0.000167
1.062000	0.003826	0.003653	0.810197	0.000278	1.000000	0.000006	0.384665	0.000168
1.063000	0.003830	0.003657	0.810197	0.000278	1.000000	0.000006	0.384665	0.000168
1.064000	0.003833	0.003660	0.810198	0.000278	1.000000	0.000007	0.384665	0.000168
1.065000	0.003837	0.003664	0.810198	0.000278	1.000000	0.000007	0.384665	0.000168
1.066000	0.003841	0.003667	0.810198	0.000278	1.000000	0.000007	0.384665	0.000169
1.067000	0.003844	0.003671	0.810199	0.000278	1.000000	0.000007	0.384665	0.000169
1.068000	0.003848	0.003674	0.810199	0.000278	1.000000	0.000007	0.384666	0.000169
1.069000	0.003852	0.003678	0.810199	0.000278	1.000000	0.000007	0.384666	0.000169
1.070000	0.003855	0.003681	0.810199	0.000279	1.000000	0.000007	0.384666	0.000170
1.071000	0.003859	0.003685	0.810200	0.000279	1.000000	0.000007	0.384666	0.000170
1.072000	0.003863	0.003689	0.810200	0.000279	1.000000	0.000007	0.384666	0.000170
1.073000	0.003867	0.003692	0.810200	0.000279	1.000000	0.000007	0.384666	0.000170
1.074000	0.003870	0.003696	0.810201	0.000279	1.000000	0.000007	0.384667	0.000171
1.075000	0.003874	0.003699	0.810201	0.000279	1.000000	0.000008	0.384667	0.000171
1.076000	0.003878	0.003703	0.810201	0.000279	1.000000	0.000008	0.384667	0.000171
1.077000	0.003881	0.003706	0.810201	0.000279	1.000000	0.000008	0.384667	0.000172
1.078000	0.003885	0.003710	0.810202	0.000279	1.000000	0.000008	0.384667	0.000172
1.079000	0.003889	0.003713	0.810202	0.000279	1.000000	0.000008	0.384667	0.000172
